"gender","occ","employ_n","year"
"Men","Protective service occupations",394000,2020
"Men","Service occupations, except protective",1728000,2020
"Men","Sales and related occupations",329000,2020
"Men","Office and administrative support occupations",509000,2020
"Men","Farming, fishing, and forestry occupations",10000,2020
"Men","Construction and extraction occupations",142000,2020
"Men","Installation, maintenance, and repair occupations",274000,2020
"Men","Production occupations",181000,2020
"Men","Transportation and material moving occupations",451000,2020
"Men","Management, business, and financial operations occupations",1187000,2020
"Men","Professional and related occupations",5243000,2020
"Men","Protective service occupations",120000,2020
"Men","Service occupations, except protective",1236000,2020
"Men","Sales and related occupations",33000,2020
"Men","Office and administrative support occupations",340000,2020
"Men","Farming, fishing, and forestry occupations",4000,2020
"Men","Construction and extraction occupations",75000,2020
"Men","Installation, maintenance, and repair occupations",181000,2020
"Men","Production occupations",65000,2020
"Men","Transportation and material moving occupations",187000,2020
"Men","Management, business, and financial operations occupations",1053000,2020
"Men","Professional and related occupations",442000,2020
"Men","Protective service occupations",104000,2020
"Men","Service occupations, except protective",3209000,2020
"Men","Sales and related occupations",268000,2020
"Men","Office and administrative support occupations",166000,2020
"Men","Farming, fishing, and forestry occupations",7000,2020
"Men","Construction and extraction occupations",34000,2020
"Men","Installation, maintenance, and repair occupations",87000,2020
"Men","Production occupations",54000,2020
"Men","Transportation and material moving occupations",271000,2020
"Men","Management, business, and financial operations occupations",321000,2020
"Men","Professional and related occupations",553000,2020
"Men","Protective service occupations",16000,2020
"Men","Service occupations, except protective",476000,2020
"Men","Sales and related occupations",260000,2020
"Men","Office and administrative support occupations",91000,2020
"Men","Farming, fishing, and forestry occupations",0,2020
"Men","Construction and extraction occupations",22000,2020
"Men","Installation, maintenance, and repair occupations",964000,2020
"Men","Production occupations",266000,2020
"Men","Transportation and material moving occupations",230000,2020
"Men","Management, business, and financial operations occupations",318000,2020
"Men","Professional and related occupations",549000,2020
"Men","Protective service occupations",16000,2020
"Men","Service occupations, except protective",424000,2020
"Men","Sales and related occupations",260000,2020
"Men","Office and administrative support occupations",91000,2020
"Men","Farming, fishing, and forestry occupations",0,2020
"Men","Construction and extraction occupations",22000,2020
"Men","Installation, maintenance, and repair occupations",963000,2020
"Men","Production occupations",261000,2020
"Men","Transportation and material moving occupations",221000,2020
"Men","Management, business, and financial operations occupations",3000,2020
"Men","Professional and related occupations",4000,2020
"Men","Protective service occupations",0,2020
"Men","Service occupations, except protective",52000,2020
"Men","Sales and related occupations",0,2020
"Men","Office and administrative support occupations",0,2020
"Men","Farming, fishing, and forestry occupations",0,2020
"Men","Construction and extraction occupations",0,2020
"Men","Installation, maintenance, and repair occupations",0,2020
"Men","Production occupations",5000,2020
"Men","Transportation and material moving occupations",8000,2020
"Men","Management, business, and financial operations occupations",681000,2020
"Men","Professional and related occupations",968000,2020
"Men","Protective service occupations",1506000,2020
"Men","Service occupations, except protective",166000,2020
"Men","Sales and related occupations",13000,2020
"Men","Office and administrative support occupations",297000,2020
"Men","Farming, fishing, and forestry occupations",8000,2020
"Men","Construction and extraction occupations",87000,2020
"Men","Installation, maintenance, and repair occupations",140000,2020
"Men","Production occupations",67000,2020
"Men","Transportation and material moving occupations",87000,2020
"Women","Management, business, and financial operations occupations",253000,2020
"Women","Professional and related occupations",22000,2020
"Women","Protective service occupations",2000,2020
"Women","Service occupations, except protective",42000,2020
"Women","Sales and related occupations",6000,2020
"Women","Office and administrative support occupations",79000,2020
"Women","Farming, fishing, and forestry occupations",217000,2020
"Women","Construction and extraction occupations",0,2020
"Women","Installation, maintenance, and repair occupations",2000,2020
"Women","Production occupations",7000,2020
"Women","Transportation and material moving occupations",20000,2020
"Women","Management, business, and financial operations occupations",43000,2020
"Women","Professional and related occupations",14000,2020
"Women","Protective service occupations",0,2020
"Women","Service occupations, except protective",2000,2020
"Women","Sales and related occupations",1000,2020
"Women","Office and administrative support occupations",28000,2020
"Women","Farming, fishing, and forestry occupations",0,2020
"Women","Construction and extraction occupations",8000,2020
"Women","Installation, maintenance, and repair occupations",1000,2020
"Women","Production occupations",1000,2020
"Women","Transportation and material moving occupations",2000,2020
"Women","Management, business, and financial operations occupations",316000,2020
"Women","Professional and related occupations",82000,2020
"Women","Protective service occupations",4000,2020
"Women","Service occupations, except protective",14000,2020
"Women","Sales and related occupations",32000,2020
"Women","Office and administrative support occupations",444000,2020
"Women","Farming, fishing, and forestry occupations",0,2020
"Women","Construction and extraction occupations",247000,2020
"Women","Installation, maintenance, and repair occupations",14000,2020
"Women","Production occupations",7000,2020
"Women","Transportation and material moving occupations",14000,2020
"Women","Management, business, and financial operations occupations",1014000,2020
"Women","Professional and related occupations",525000,2020
"Women","Protective service occupations",9000,2020
"Women","Service occupations, except protective",66000,2020
"Women","Sales and related occupations",230000,2020
"Women","Office and administrative support occupations",682000,2020
"Women","Farming, fishing, and forestry occupations",3000,2020
"Women","Construction and extraction occupations",14000,2020
"Women","Installation, maintenance, and repair occupations",46000,2020
"Women","Production occupations",1477000,2020
"Women","Transportation and material moving occupations",230000,2020
"Women","Management, business, and financial operations occupations",570000,2020
"Women","Professional and related occupations",315000,2020
"Women","Protective service occupations",5000,2020
"Women","Service occupations, except protective",29000,2020
"Women","Sales and related occupations",87000,2020
"Women","Office and administrative support occupations",406000,2020
"Women","Farming, fishing, and forestry occupations",0,2020
"Women","Construction and extraction occupations",12000,2020
"Women","Installation, maintenance, and repair occupations",32000,2020
"Women","Production occupations",760000,2020
"Women","Transportation and material moving occupations",99000,2020
"Women","Management, business, and financial operations occupations",445000,2020
"Women","Professional and related occupations",210000,2020
"Women","Protective service occupations",4000,2020
"Women","Service occupations, except protective",37000,2020
"Women","Sales and related occupations",143000,2020
"Women","Office and administrative support occupations",276000,2020
"Women","Farming, fishing, and forestry occupations",3000,2020
"Women","Construction and extraction occupations",2000,2020
"Women","Installation, maintenance, and repair occupations",14000,2020
"Women","Production occupations",717000,2020
"Women","Transportation and material moving occupations",131000,2020
"Women","Management, business, and financial operations occupations",668000,2020
"Women","Professional and related occupations",655000,2020
"Women","Protective service occupations",20000,2020
"Women","Service occupations, except protective",346000,2020
"Women","Sales and related occupations",4278000,2020
"Women","Office and administrative support occupations",1291000,2020
"Women","Farming, fishing, and forestry occupations",18000,2020
"Women","Construction and extraction occupations",5000,2020
"Women","Installation, maintenance, and repair occupations",17000,2020
"Women","Production occupations",212000,2020
"Women","Transportation and material moving occupations",845000,2020
"Women","Management, business, and financial operations occupations",179000,2020
"Women","Professional and related occupations",67000,2020
"Women","Protective service occupations",3000,2020
"Women","Service occupations, except protective",10000,2020
"Women","Sales and related occupations",310000,2020
"Women","Office and administrative support occupations",286000,2020
"Women","Farming, fishing, and forestry occupations",11000,2020
"Women","Construction and extraction occupations",0,2020
"Women","Installation, maintenance, and repair occupations",4000,2020
"Women","Production occupations",44000,2020
"Women","Transportation and material moving occupations",107000,2020
"Women","Management, business, and financial operations occupations",488000,2020
"Women","Professional and related occupations",588000,2020
"Women","Protective service occupations",16000,2020
"Women","Service occupations, except protective",336000,2020
"Women","Sales and related occupations",3968000,2020
"Women","Office and administrative support occupations",1005000,2020
"Women","Farming, fishing, and forestry occupations",7000,2020
"Women","Construction and extraction occupations",5000,2020
"Women","Installation, maintenance, and repair occupations",13000,2020
"Women","Production occupations",168000,2020
"Women","Transportation and material moving occupations",738000,2020
"Women","Management, business, and financial operations occupations",304000,2020
"Women","Professional and related occupations",99000,2020
"Women","Protective service occupations",13000,2020
"Women","Service occupations, except protective",38000,2020
"Women","Sales and related occupations",69000,2020
"Women","Office and administrative support occupations",819000,2020
"Women","Farming, fishing, and forestry occupations",1000,2020
"Women","Construction and extraction occupations",5000,2020
"Women","Installation, maintenance, and repair occupations",13000,2020
"Women","Production occupations",51000,2020
"Women","Transportation and material moving occupations",646000,2020
"Women","Management, business, and financial operations occupations",290000,2020
"Women","Professional and related occupations",405000,2020
"Women","Protective service occupations",3000,2020
"Women","Service occupations, except protective",15000,2020
"Women","Sales and related occupations",82000,2020
"Women","Office and administrative support occupations",215000,2020
"Women","Farming, fishing, and forestry occupations",0,2020
"Women","Construction and extraction occupations",0,2020
"Women","Installation, maintenance, and repair occupations",25000,2020
"Women","Production occupations",8000,2020
"Women","Transportation and material moving occupations",7000,2020
"Women","Management, business, and financial operations occupations",2276000,2020
"Women","Professional and related occupations",460000,2020
"Women","Protective service occupations",20000,2020
"Women","Service occupations, except protective",77000,2020
"Women","Sales and related occupations",1143000,2020
"Women","Office and administrative support occupations",1502000,2020
"Women","Farming, fishing, and forestry occupations",0,2020
"Women","Construction and extraction occupations",2000,2020
"Women","Installation, maintenance, and repair occupations",14000,2020
"Women","Production occupations",20000,2020
"Women","Transportation and material moving occupations",10000,2020
"Women","Management, business, and financial operations occupations",2276000,2020
"Women","Professional and related occupations",2377000,2020
"Women","Protective service occupations",146000,2020
"Women","Service occupations, except protective",1029000,2020
"Women","Sales and related occupations",255000,2020
"Women","Office and administrative support occupations",1497000,2020
"Women","Farming, fishing, and forestry occupations",2000,2020
"Women","Construction and extraction occupations",10000,2020
"Women","Installation, maintenance, and repair occupations",13000,2020
"Women","Production occupations",88000,2020
"Women","Transportation and material moving occupations",94000,2020
"Women","Management, business, and financial operations occupations",2506000,2020
"Women","Professional and related occupations",14297000,2020
"Women","Protective service occupations",58000,2020
"Women","Service occupations, except protective",5259000,2020
"Women","Sales and related occupations",105000,2020
"Women","Office and administrative support occupations",2918000,2020
"Women","Farming, fishing, and forestry occupations",1000,2020
"Women","Construction and extraction occupations",8000,2020
"Women","Installation, maintenance, and repair occupations",16000,2020
"Women","Production occupations",99000,2020
"Women","Transportation and material moving occupations",165000,2020
"Women","Management, business, and financial operations occupations",957000,2020
"Women","Professional and related occupations",353000,2020
"Women","Protective service occupations",46000,2020
"Women","Service occupations, except protective",3274000,2020
"Women","Sales and related occupations",592000,2020
"Women","Office and administrative support occupations",437000,2020
"Women","Farming, fishing, and forestry occupations",1000,2020
"Women","Construction and extraction occupations",1000,2020
"Women","Installation, maintenance, and repair occupations",5000,2020
"Women","Production occupations",52000,2020
"Women","Transportation and material moving occupations",69000,2020
"Women","Management, business, and financial operations occupations",442000,2020
"Women","Professional and related occupations",441000,2020
"Women","Protective service occupations",3000,2020
"Women","Service occupations, except protective",1930000,2020
"Women","Sales and related occupations",88000,2020
"Women","Office and administrative support occupations",449000,2020
"Women","Farming, fishing, and forestry occupations",3000,2020
"Women","Construction and extraction occupations",2000,2020
"Women","Installation, maintenance, and repair occupations",23000,2020
"Women","Production occupations",114000,2020
"Women","Transportation and material moving occupations",50000,2020
"Women","Management, business, and financial operations occupations",437000,2020
"Women","Professional and related occupations",438000,2020
"Women","Protective service occupations",3000,2020
"Women","Service occupations, except protective",1371000,2020
"Women","Sales and related occupations",88000,2020
"Women","Office and administrative support occupations",441000,2020
"Women","Farming, fishing, and forestry occupations",3000,2020
"Women","Construction and extraction occupations",2000,2020
"Women","Installation, maintenance, and repair occupations",23000,2020
"Women","Production occupations",110000,2020
"Women","Transportation and material moving occupations",48000,2020
"Women","Management, business, and financial operations occupations",5000,2020
"Women","Professional and related occupations",3000,2020
"Women","Protective service occupations",0,2020
"Women","Service occupations, except protective",559000,2020
"Women","Sales and related occupations",0,2020
"Women","Office and administrative support occupations",8000,2020
"Women","Farming, fishing, and forestry occupations",0,2020
"Women","Construction and extraction occupations",0,2020
"Women","Installation, maintenance, and repair occupations",0,2020
"Women","Production occupations",4000,2020
"Women","Transportation and material moving occupations",2000,2020
"Women","Management, business, and financial operations occupations",770000,2020
"Women","Professional and related occupations",1066000,2020
"Women","Protective service occupations",391000,2020
"Women","Service occupations, except protective",229000,2020
"Women","Sales and related occupations",26000,2020
"Women","Office and administrative support occupations",951000,2020
"Women","Farming, fishing, and forestry occupations",5000,2020
"Women","Construction and extraction occupations",5000,2020
"Women","Installation, maintenance, and repair occupations",3000,2020
"Women","Production occupations",10000,2020
"Women","Transportation and material moving occupations",24000,2020
"Men","Management, business, and financial operations occupations",745000,2019
"Men","Professional and related occupations",28000,2019
"Men","Protective service occupations",13000,2019
"Men","Service occupations, except protective",62000,2019
"Men","Sales and related occupations",8000,2019
"Men","Office and administrative support occupations",14000,2019
"Men","Farming, fishing, and forestry occupations",774000,2019
"Men","Construction and extraction occupations",12000,2019
"Men","Installation, maintenance, and repair occupations",26000,2019
"Men","Production occupations",32000,2019
"Men","Transportation and material moving occupations",76000,2019
"Men","Management, business, and financial operations occupations",115000,2019
"Men","Professional and related occupations",104000,2019
"Men","Protective service occupations",2000,2019
"Men","Service occupations, except protective",2000,2019
"Men","Sales and related occupations",8000,2019
"Men","Office and administrative support occupations",26000,2019
"Men","Farming, fishing, and forestry occupations",0,2019
"Men","Construction and extraction occupations",205000,2019
"Men","Installation, maintenance, and repair occupations",52000,2019
"Men","Production occupations",39000,2019
"Men","Transportation and material moving occupations",79000,2019
"Men","Management, business, and financial operations occupations",1948000,2019
"Men","Professional and related occupations",235000,2019
"Men","Protective service occupations",17000,2019
"Men","Service occupations, except protective",31000,2019
"Men","Sales and related occupations",83000,2019
"Men","Office and administrative support occupations",82000,2019
"Men","Farming, fishing, and forestry occupations",4000,2019
"Men","Construction and extraction occupations",6822000,2019
"Men","Installation, maintenance, and repair occupations",572000,2019
"Men","Production occupations",152000,2019
"Men","Transportation and material moving occupations",259000,2019
"Men","Management, business, and financial operations occupations",1872000,2019
"Men","Professional and related occupations",1781000,2019
"Men","Protective service occupations",25000,2019
"Men","Service occupations, except protective",159000,2019
"Men","Sales and related occupations",397000,2019
"Men","Office and administrative support occupations",510000,2019
"Men","Farming, fishing, and forestry occupations",22000,2019
"Men","Construction and extraction occupations",283000,2019
"Men","Installation, maintenance, and repair occupations",673000,2019
"Men","Production occupations",4423000,2019
"Men","Transportation and material moving occupations",966000,2019
"Men","Management, business, and financial operations occupations",1207000,2019
"Men","Professional and related occupations",1361000,2019
"Men","Protective service occupations",16000,2019
"Men","Service occupations, except protective",81000,2019
"Men","Sales and related occupations",246000,2019
"Men","Office and administrative support occupations",312000,2019
"Men","Farming, fishing, and forestry occupations",4000,2019
"Men","Construction and extraction occupations",228000,2019
"Men","Installation, maintenance, and repair occupations",421000,2019
"Men","Production occupations",3029000,2019
"Men","Transportation and material moving occupations",560000,2019
"Men","Management, business, and financial operations occupations",666000,2019
"Men","Professional and related occupations",419000,2019
"Men","Protective service occupations",10000,2019
"Men","Service occupations, except protective",78000,2019
"Men","Sales and related occupations",151000,2019
"Men","Office and administrative support occupations",197000,2019
"Men","Farming, fishing, and forestry occupations",18000,2019
"Men","Construction and extraction occupations",55000,2019
"Men","Installation, maintenance, and repair occupations",253000,2019
"Men","Production occupations",1394000,2019
"Men","Transportation and material moving occupations",406000,2019
"Men","Management, business, and financial operations occupations",837000,2019
"Men","Professional and related occupations",516000,2019
"Men","Protective service occupations",37000,2019
"Men","Service occupations, except protective",303000,2019
"Men","Sales and related occupations",5038000,2019
"Men","Office and administrative support occupations",1377000,2019
"Men","Farming, fishing, and forestry occupations",29000,2019
"Men","Construction and extraction occupations",92000,2019
"Men","Installation, maintenance, and repair occupations",695000,2019
"Men","Production occupations",361000,2019
"Men","Transportation and material moving occupations",1729000,2019
"Men","Management, business, and financial operations occupations",346000,2019
"Men","Professional and related occupations",110000,2019
"Men","Protective service occupations",5000,2019
"Men","Service occupations, except protective",30000,2019
"Men","Sales and related occupations",1004000,2019
"Men","Office and administrative support occupations",221000,2019
"Men","Farming, fishing, and forestry occupations",18000,2019
"Men","Construction and extraction occupations",23000,2019
"Men","Installation, maintenance, and repair occupations",122000,2019
"Men","Production occupations",89000,2019
"Men","Transportation and material moving occupations",550000,2019
"Men","Management, business, and financial operations occupations",491000,2019
"Men","Professional and related occupations",406000,2019
"Men","Protective service occupations",32000,2019
"Men","Service occupations, except protective",273000,2019
"Men","Sales and related occupations",4035000,2019
"Men","Office and administrative support occupations",1156000,2019
"Men","Farming, fishing, and forestry occupations",11000,2019
"Men","Construction and extraction occupations",69000,2019
"Men","Installation, maintenance, and repair occupations",573000,2019
"Men","Production occupations",272000,2019
"Men","Transportation and material moving occupations",1179000,2019
"Men","Management, business, and financial operations occupations",631000,2019
"Men","Professional and related occupations",316000,2019
"Men","Protective service occupations",35000,2019
"Men","Service occupations, except protective",89000,2019
"Men","Sales and related occupations",91000,2019
"Men","Office and administrative support occupations",1003000,2019
"Men","Farming, fishing, and forestry occupations",5000,2019
"Men","Construction and extraction occupations",174000,2019
"Men","Installation, maintenance, and repair occupations",511000,2019
"Men","Production occupations",335000,2019
"Men","Transportation and material moving occupations",3633000,2019
"Men","Management, business, and financial operations occupations",310000,2019
"Men","Professional and related occupations",712000,2019
"Men","Protective service occupations",6000,2019
"Men","Service occupations, except protective",45000,2019
"Men","Sales and related occupations",155000,2019
"Men","Office and administrative support occupations",106000,2019
"Men","Farming, fishing, and forestry occupations",0,2019
"Men","Construction and extraction occupations",15000,2019
"Men","Installation, maintenance, and repair occupations",239000,2019
"Men","Production occupations",20000,2019
"Men","Transportation and material moving occupations",37000,2019
"Men","Management, business, and financial operations occupations",2416000,2019
"Men","Professional and related occupations",594000,2019
"Men","Protective service occupations",34000,2019
"Men","Service occupations, except protective",193000,2019
"Men","Sales and related occupations",1117000,2019
"Men","Office and administrative support occupations",428000,2019
"Men","Farming, fishing, and forestry occupations",0,2019
"Men","Construction and extraction occupations",50000,2019
"Men","Installation, maintenance, and repair occupations",172000,2019
"Men","Production occupations",19000,2019
"Men","Transportation and material moving occupations",82000,2019
"Men","Management, business, and financial operations occupations",2945000,2019
"Men","Professional and related occupations",4196000,2019
"Men","Protective service occupations",472000,2019
"Men","Service occupations, except protective",1788000,2019
"Men","Sales and related occupations",380000,2019
"Men","Office and administrative support occupations",603000,2019
"Men","Farming, fishing, and forestry occupations",10000,2019
"Men","Construction and extraction occupations",145000,2019
"Men","Installation, maintenance, and repair occupations",249000,2019
"Men","Production occupations",225000,2019
"Men","Transportation and material moving occupations",488000,2019
"Men","Management, business, and financial operations occupations",1161000,2019
"Men","Professional and related occupations",5383000,2019
"Men","Protective service occupations",112000,2019
"Men","Service occupations, except protective",1357000,2019
"Men","Sales and related occupations",31000,2019
"Men","Office and administrative support occupations",419000,2019
"Men","Farming, fishing, and forestry occupations",3000,2019
"Men","Construction and extraction occupations",77000,2019
"Men","Installation, maintenance, and repair occupations",198000,2019
"Men","Production occupations",64000,2019
"Men","Transportation and material moving occupations",247000,2019
"Men","Management, business, and financial operations occupations",1116000,2019
"Men","Professional and related occupations",566000,2019
"Men","Protective service occupations",143000,2019
"Men","Service occupations, except protective",4233000,2019
"Men","Sales and related occupations",352000,2019
"Men","Office and administrative support occupations",230000,2019
"Men","Farming, fishing, and forestry occupations",4000,2019
"Men","Construction and extraction occupations",37000,2019
"Men","Installation, maintenance, and repair occupations",104000,2019
"Men","Production occupations",68000,2019
"Men","Transportation and material moving occupations",292000,2019
"Men","Management, business, and financial operations occupations",332000,2019
"Men","Professional and related occupations",545000,2019
"Men","Protective service occupations",12000,2019
"Men","Service occupations, except protective",596000,2019
"Men","Sales and related occupations",299000,2019
"Men","Office and administrative support occupations",104000,2019
"Men","Farming, fishing, and forestry occupations",2000,2019
"Men","Construction and extraction occupations",18000,2019
"Men","Installation, maintenance, and repair occupations",1030000,2019
"Men","Production occupations",322000,2019
"Men","Transportation and material moving occupations",254000,2019
"Men","Management, business, and financial operations occupations",331000,2019
"Men","Professional and related occupations",544000,2019
"Men","Protective service occupations",12000,2019
"Men","Service occupations, except protective",535000,2019
"Men","Sales and related occupations",298000,2019
"Men","Office and administrative support occupations",103000,2019
"Men","Farming, fishing, and forestry occupations",2000,2019
"Men","Construction and extraction occupations",14000,2019
"Men","Installation, maintenance, and repair occupations",1030000,2019
"Men","Production occupations",322000,2019
"Men","Transportation and material moving occupations",247000,2019
"Men","Management, business, and financial operations occupations",1000,2019
"Men","Professional and related occupations",1000,2019
"Men","Protective service occupations",0,2019
"Men","Service occupations, except protective",61000,2019
"Men","Sales and related occupations",1000,2019
"Men","Office and administrative support occupations",1000,2019
"Men","Farming, fishing, and forestry occupations",0,2019
"Men","Construction and extraction occupations",3000,2019
"Men","Installation, maintenance, and repair occupations",0,2019
"Men","Production occupations",0,2019
"Men","Transportation and material moving occupations",6000,2019
"Men","Management, business, and financial operations occupations",645000,2019
"Men","Professional and related occupations",905000,2019
"Men","Protective service occupations",1529000,2019
"Men","Service occupations, except protective",150000,2019
"Men","Sales and related occupations",18000,2019
"Men","Office and administrative support occupations",267000,2019
"Men","Farming, fishing, and forestry occupations",9000,2019
"Men","Construction and extraction occupations",103000,2019
"Men","Installation, maintenance, and repair occupations",149000,2019
"Men","Production occupations",54000,2019
"Men","Transportation and material moving occupations",92000,2019
"Women","Management, business, and financial operations occupations",263000,2019
"Women","Professional and related occupations",14000,2019
"Women","Protective service occupations",3000,2019
"Women","Service occupations, except protective",36000,2019
"Women","Sales and related occupations",9000,2019
"Women","Office and administrative support occupations",67000,2019
"Women","Farming, fishing, and forestry occupations",219000,2019
"Women","Construction and extraction occupations",0,2019
"Women","Installation, maintenance, and repair occupations",0,2019
"Women","Production occupations",6000,2019
"Women","Transportation and material moving occupations",18000,2019
"Women","Management, business, and financial operations occupations",41000,2019
"Women","Professional and related occupations",23000,2019
"Women","Protective service occupations",0,2019
"Women","Service occupations, except protective",3000,2019
"Women","Sales and related occupations",3000,2019
"Women","Office and administrative support occupations",36000,2019
"Women","Farming, fishing, and forestry occupations",0,2019
"Women","Construction and extraction occupations",8000,2019
"Women","Installation, maintenance, and repair occupations",1000,2019
"Women","Production occupations",1000,2019
"Women","Transportation and material moving occupations",2000,2019
"Women","Management, business, and financial operations occupations",363000,2019
"Women","Professional and related occupations",55000,2019
"Women","Protective service occupations",6000,2019
"Women","Service occupations, except protective",6000,2019
"Women","Sales and related occupations",35000,2019
"Women","Office and administrative support occupations",446000,2019
"Women","Farming, fishing, and forestry occupations",0,2019
"Women","Construction and extraction occupations",222000,2019
"Women","Installation, maintenance, and repair occupations",17000,2019
"Women","Production occupations",8000,2019
"Women","Transportation and material moving occupations",9000,2019
